Designator,Mid X,Mid Y,Layer,Rotation
R1,131.350000mm,-95.700000mm,Top,90
C2,131.343000mm,-58.724750mm,Bottom,0
C3,131.253000mm,-77.584250mm,Bottom,0
C4,131.443500mm,-96.253250mm,Bottom,0
C5,131.253000mm,-115.684250mm,Bottom,0
C6,131.443500mm,-134.162750mm,Bottom,0
C7,131.253000mm,-153.784250mm,Bottom,0
D1,131.369500mm,-63.803750mm,Bottom,90
D2,131.343000mm,-82.918250mm,Bottom,90
D3,131.343000mm,-101.777750mm,Bottom,90
D4,131.343000mm,-121.018250mm,Bottom,90
D5,131.343000mm,-140.068250mm,Bottom,90
D6,131.343000mm,-159.308750mm,Bottom,90
